area_code,area,item_code,item,element,year,unit,value,_source,_domain
'388,Jamaica,2946,Animal fats,Food supply (kcal/capita/day),2015,kcal/cap/d,75.35,bulk,FBS_BULK
'388,Jamaica,2946,Animal fats,Food supply (kcal/capita/day),2016,kcal/cap/d,78.28,bulk,FBS_BULK
'388,Jamaica,2946,Animal fats,Food supply (kcal/capita/day),2017,kcal/cap/d,87.69,bulk,FBS_BULK
'388,Jamaica,2946,Animal fats,Food supply (kcal/capita/day),2018,kcal/cap/d,74.24,bulk,FBS_BULK
'388,Jamaica,2946,Animal fats,Food supply (kcal/capita/day),2019,kcal/cap/d,67.87,bulk,FBS_BULK
'388,Jamaica,2946,Animal fats,Food supply (kcal/capita/day),2020,kcal/cap/d,55.67,bulk,FBS_BULK
'388,Jamaica,2946,Animal fats,Food supply (kcal/capita/day),2021,kcal/cap/d,63.19,bulk,FBS_BULK
'388,Jamaica,2946,Animal fats,Food supply (kcal/capita/day),2022,kcal/cap/d,75.35,bulk,FBS_BULK
'388,Jamaica,2946,Animal fats,Food supply quantity (kg/capita/yr),2010,kg/cap,1.15,bulk,FBS_BULK
'388,Jamaica,2946,Animal fats,Food supply quantity (kg/capita/yr),2011,kg/cap,1.96,bulk,FBS_BULK
'388,Jamaica,2946,Animal fats,Food supply quantity (kg/capita/yr),2012,kg/cap,2.27,bulk,FBS_BULK
'388,Jamaica,2946,Animal fats,Food supply quantity (kg/capita/yr),2013,kg/cap,2.37,bulk,FBS_BULK
'388,Jamaica,2946,Animal fats,Food supply quantity (kg/capita/yr),2014,kg/cap,2.6,bulk,FBS_BULK
'388,Jamaica,2946,Animal fats,Food supply quantity (kg/capita/yr),2015,kg/cap,2.79,bulk,FBS_BULK
'388,Jamaica,2946,Animal fats,Food supply quantity (kg/capita/yr),2016,kg/cap,2.83,bulk,FBS_BULK
'388,Jamaica,2946,Animal fats,Food supply quantity (kg/capita/yr),2017,kg/cap,3.41,bulk,FBS_BULK
'388,Jamaica,2946,Animal fats,Food supply quantity (kg/capita/yr),2018,kg/cap,2.65,bulk,FBS_BULK
'388,Jamaica,2946,Animal fats,Food supply quantity (kg/capita/yr),2019,kg/cap,2.43,bulk,FBS_BULK
'388,Jamaica,2946,Animal fats,Food supply quantity (kg/capita/yr),2020,kg/cap,2.13,bulk,FBS_BULK
'388,Jamaica,2946,Animal fats,Food supply quantity (kg/capita/yr),2021,kg/cap,2.32,bulk,FBS_BULK
'388,Jamaica,2946,Animal fats,Food supply quantity (kg/capita/yr),2022,kg/cap,2.89,bulk,FBS_BULK
'388,Jamaica,2617,Apples and products,Food supply (kcal/capita/day),2010,kcal/cap/d,0.95,bulk,FBS_BULK
'388,Jamaica,2617,Apples and products,Food supply (kcal/capita/day),2011,kcal/cap/d,1.22,bulk,FBS_BULK
'388,Jamaica,2617,Apples and products,Food supply (kcal/capita/day),2012,kcal/cap/d,1.15,bulk,FBS_BULK
'388,Jamaica,2617,Apples and products,Food supply (kcal/capita/day),2013,kcal/cap/d,0.94,bulk,FBS_BULK
'388,Jamaica,2617,Apples and products,Food supply (kcal/capita/day),2014,kcal/cap/d,1.06,bulk,FBS_BULK
'388,Jamaica,2617,Apples and products,Food supply (kcal/capita/day),2015,kcal/cap/d,0.86,bulk,FBS_BULK
'388,Jamaica,2617,Apples and products,Food supply (kcal/capita/day),2016,kcal/cap/d,0.91,bulk,FBS_BULK
'388,Jamaica,2617,Apples and products,Food supply (kcal/capita/day),2017,kcal/cap/d,0.89,bulk,FBS_BULK
'388,Jamaica,2617,Apples and products,Food supply (kcal/capita/day),2018,kcal/cap/d,1.1,bulk,FBS_BULK
'388,Jamaica,2617,Apples and products,Food supply (kcal/capita/day),2019,kcal/cap/d,1.71,bulk,FBS_BULK
'388,Jamaica,2617,Apples and products,Food supply (kcal/capita/day),2020,kcal/cap/d,1.48,bulk,FBS_BULK
'388,Jamaica,2617,Apples and products,Food supply (kcal/capita/day),2021,kcal/cap/d,1.75,bulk,FBS_BULK
'388,Jamaica,2617,Apples and products,Food supply (kcal/capita/day),2022,kcal/cap/d,2.03,bulk,FBS_BULK
'388,Jamaica,2617,Apples and products,Food supply quantity (kg/capita/yr),2010,kg/cap,2.06,bulk,FBS_BULK
'388,Jamaica,2617,Apples and products,Food supply quantity (kg/capita/yr),2011,kg/cap,2.72,bulk,FBS_BULK
'388,Jamaica,2617,Apples and products,Food supply quantity (kg/capita/yr),2012,kg/cap,2.59,bulk,FBS_BULK
'388,Jamaica,2617,Apples and products,Food supply quantity (kg/capita/yr),2013,kg/cap,2.06,bulk,FBS_BULK
'388,Jamaica,2617,Apples and products,Food supply quantity (kg/capita/yr),2014,kg/cap,2.35,bulk,FBS_BULK
'388,Jamaica,2617,Apples and products,Food supply quantity (kg/capita/yr),2015,kg/cap,1.87,bulk,FBS_BULK
'388,Jamaica,2617,Apples and products,Food supply quantity (kg/capita/yr),2016,kg/cap,1.98,bulk,FBS_BULK
'388,Jamaica,2617,Apples and products,Food supply quantity (kg/capita/yr),2017,kg/cap,1.95,bulk,FBS_BULK
'388,Jamaica,2617,Apples and products,Food supply quantity (kg/capita/yr),2018,kg/cap,2.45,bulk,FBS_BULK
'388,Jamaica,2617,Apples and products,Food supply quantity (kg/capita/yr),2019,kg/cap,3.6,bulk,FBS_BULK
'388,Jamaica,2617,Apples and products,Food supply quantity (kg/capita/yr),2020,kg/cap,3.08,bulk,FBS_BULK
'388,Jamaica,2617,Apples and products,Food supply quantity (kg/capita/yr),2021,kg/cap,3.8,bulk,FBS_BULK
'388,Jamaica,2617,Apples and products,Food supply quantity (kg/capita/yr),2022,kg/cap,4.77,bulk,FBS_BULK
