area_code,area,item_code,item,element,year,unit,value,_source,_domain
'084,Belize,2946,Animal fats,Food supply (kcal/capita/day),2016,kcal/cap/d,138.05,bulk,FBS_BULK
'084,Belize,2946,Animal fats,Food supply (kcal/capita/day),2017,kcal/cap/d,178.03,bulk,FBS_BULK
'084,Belize,2946,Animal fats,Food supply (kcal/capita/day),2018,kcal/cap/d,185.36,bulk,FBS_BULK
'084,Belize,2946,Animal fats,Food supply (kcal/capita/day),2019,kcal/cap/d,210.62,bulk,FBS_BULK
'084,Belize,2946,Animal fats,Food supply (kcal/capita/day),2020,kcal/cap/d,234.68,bulk,FBS_BULK
'084,Belize,2946,Animal fats,Food supply (kcal/capita/day),2021,kcal/cap/d,203.57,bulk,FBS_BULK
'084,Belize,2946,Animal fats,Food supply (kcal/capita/day),2022,kcal/cap/d,153.02,bulk,FBS_BULK
'084,Belize,2946,Animal fats,Food supply quantity (kg/capita/yr),2010,kg/cap,6.57,bulk,FBS_BULK
'084,Belize,2946,Animal fats,Food supply quantity (kg/capita/yr),2011,kg/cap,5.96,bulk,FBS_BULK
'084,Belize,2946,Animal fats,Food supply quantity (kg/capita/yr),2012,kg/cap,6.15,bulk,FBS_BULK
'084,Belize,2946,Animal fats,Food supply quantity (kg/capita/yr),2013,kg/cap,6.0,bulk,FBS_BULK
'084,Belize,2946,Animal fats,Food supply quantity (kg/capita/yr),2014,kg/cap,7.1,bulk,FBS_BULK
'084,Belize,2946,Animal fats,Food supply quantity (kg/capita/yr),2015,kg/cap,8.21,bulk,FBS_BULK
'084,Belize,2946,Animal fats,Food supply quantity (kg/capita/yr),2016,kg/cap,7.26,bulk,FBS_BULK
'084,Belize,2946,Animal fats,Food supply quantity (kg/capita/yr),2017,kg/cap,9.34,bulk,FBS_BULK
'084,Belize,2946,Animal fats,Food supply quantity (kg/capita/yr),2018,kg/cap,9.75,bulk,FBS_BULK
'084,Belize,2946,Animal fats,Food supply quantity (kg/capita/yr),2019,kg/cap,11.11,bulk,FBS_BULK
'084,Belize,2946,Animal fats,Food supply quantity (kg/capita/yr),2020,kg/cap,13.76,bulk,FBS_BULK
'084,Belize,2946,Animal fats,Food supply quantity (kg/capita/yr),2021,kg/cap,10.73,bulk,FBS_BULK
'084,Belize,2946,Animal fats,Food supply quantity (kg/capita/yr),2022,kg/cap,8.06,bulk,FBS_BULK
'084,Belize,2617,Apples and products,Food supply (kcal/capita/day),2010,kcal/cap/d,1.11,bulk,FBS_BULK
'084,Belize,2617,Apples and products,Food supply (kcal/capita/day),2011,kcal/cap/d,1.06,bulk,FBS_BULK
'084,Belize,2617,Apples and products,Food supply (kcal/capita/day),2012,kcal/cap/d,1.07,bulk,FBS_BULK
'084,Belize,2617,Apples and products,Food supply (kcal/capita/day),2013,kcal/cap/d,1.04,bulk,FBS_BULK
'084,Belize,2617,Apples and products,Food supply (kcal/capita/day),2014,kcal/cap/d,1.86,bulk,FBS_BULK
'084,Belize,2617,Apples and products,Food supply (kcal/capita/day),2015,kcal/cap/d,1.7,bulk,FBS_BULK
'084,Belize,2617,Apples and products,Food supply (kcal/capita/day),2016,kcal/cap/d,1.16,bulk,FBS_BULK
'084,Belize,2617,Apples and products,Food supply (kcal/capita/day),2017,kcal/cap/d,1.39,bulk,FBS_BULK
'084,Belize,2617,Apples and products,Food supply (kcal/capita/day),2018,kcal/cap/d,0.63,bulk,FBS_BULK
'084,Belize,2617,Apples and products,Food supply (kcal/capita/day),2019,kcal/cap/d,0.73,bulk,FBS_BULK
'084,Belize,2617,Apples and products,Food supply (kcal/capita/day),2020,kcal/cap/d,0.82,bulk,FBS_BULK
'084,Belize,2617,Apples and products,Food supply (kcal/capita/day),2021,kcal/cap/d,0.86,bulk,FBS_BULK
'084,Belize,2617,Apples and products,Food supply (kcal/capita/day),2022,kcal/cap/d,0.41,bulk,FBS_BULK
'084,Belize,2617,Apples and products,Food supply quantity (kg/capita/yr),2010,kg/cap,1.08,bulk,FBS_BULK
'084,Belize,2617,Apples and products,Food supply quantity (kg/capita/yr),2011,kg/cap,0.97,bulk,FBS_BULK
'084,Belize,2617,Apples and products,Food supply quantity (kg/capita/yr),2012,kg/cap,0.98,bulk,FBS_BULK
