area_code,area,item_code,item,element,year,unit,value,_source,_domain
'780,Trinidad and Tobago,2735,"Meat, Other",Food supply quantity (kg/capita/yr),2015,kg/cap,0.21,bulk,FBS_BULK
'780,Trinidad and Tobago,2735,"Meat, Other",Food supply quantity (kg/capita/yr),2016,kg/cap,0.02,bulk,FBS_BULK
'780,Trinidad and Tobago,2735,"Meat, Other",Food supply quantity (kg/capita/yr),2017,kg/cap,0.06,bulk,FBS_BULK
'780,Trinidad and Tobago,2735,"Meat, Other",Food supply quantity (kg/capita/yr),2018,kg/cap,0.03,bulk,FBS_BULK
'780,Trinidad and Tobago,2735,"Meat, Other",Food supply quantity (kg/capita/yr),2019,kg/cap,0.06,bulk,FBS_BULK
'780,Trinidad and Tobago,2735,"Meat, Other",Food supply quantity (kg/capita/yr),2020,kg/cap,0.2,bulk,FBS_BULK
'780,Trinidad and Tobago,2735,"Meat, Other",Food supply quantity (kg/capita/yr),2021,kg/cap,0.16,bulk,FBS_BULK
'780,Trinidad and Tobago,2735,"Meat, Other",Food supply quantity (kg/capita/yr),2022,kg/cap,0.22,bulk,FBS_BULK
'780,Trinidad and Tobago,2948,Milk - Excluding Butter,Food supply (kcal/capita/day),2010,kcal/cap/d,147.54,bulk,FBS_BULK
'780,Trinidad and Tobago,2848,Milk - Excluding Butter,Food supply (kcal/capita/day),2010,kcal/cap/d,147.54,bulk,FBS_BULK
'780,Trinidad and Tobago,2948,Milk - Excluding Butter,Food supply (kcal/capita/day),2011,kcal/cap/d,142.68,bulk,FBS_BULK
'780,Trinidad and Tobago,2848,Milk - Excluding Butter,Food supply (kcal/capita/day),2011,kcal/cap/d,142.68,bulk,FBS_BULK
'780,Trinidad and Tobago,2948,Milk - Excluding Butter,Food supply (kcal/capita/day),2012,kcal/cap/d,157.57,bulk,FBS_BULK
'780,Trinidad and Tobago,2848,Milk - Excluding Butter,Food supply (kcal/capita/day),2012,kcal/cap/d,157.57,bulk,FBS_BULK
'780,Trinidad and Tobago,2948,Milk - Excluding Butter,Food supply (kcal/capita/day),2013,kcal/cap/d,150.65,bulk,FBS_BULK
'780,Trinidad and Tobago,2848,Milk - Excluding Butter,Food supply (kcal/capita/day),2013,kcal/cap/d,150.65,bulk,FBS_BULK
'780,Trinidad and Tobago,2948,Milk - Excluding Butter,Food supply (kcal/capita/day),2014,kcal/cap/d,161.73,bulk,FBS_BULK
