area_code,area,item_code,item,element,year,unit,value,_source,_domain
'328,Guyana,2946,Animal fats,Food supply (kcal/capita/day),2015,kcal/cap/d,9.11,bulk,FBS_BULK
'328,Guyana,2946,Animal fats,Food supply (kcal/capita/day),2016,kcal/cap/d,14.87,bulk,FBS_BULK
'328,Guyana,2946,Animal fats,Food supply (kcal/capita/day),2017,kcal/cap/d,26.27,bulk,FBS_BULK
'328,Guyana,2946,Animal fats,Food supply (kcal/capita/day),2018,kcal/cap/d,26.88,bulk,FBS_BULK
'328,Guyana,2946,Animal fats,Food supply (kcal/capita/day),2019,kcal/cap/d,27.82,bulk,FBS_BULK
'328,Guyana,2946,Animal fats,Food supply (kcal/capita/day),2020,kcal/cap/d,24.79,bulk,FBS_BULK
'328,Guyana,2946,Animal fats,Food supply (kcal/capita/day),2021,kcal/cap/d,25.95,bulk,FBS_BULK
'328,Guyana,2946,Animal fats,Food supply (kcal/capita/day),2022,kcal/cap/d,28.91,bulk,FBS_BULK
'328,Guyana,2946,Animal fats,Food supply quantity (kg/capita/yr),2010,kg/cap,0.42,bulk,FBS_BULK
'328,Guyana,2946,Animal fats,Food supply quantity (kg/capita/yr),2011,kg/cap,0.44,bulk,FBS_BULK
'328,Guyana,2946,Animal fats,Food supply quantity (kg/capita/yr),2012,kg/cap,0.53,bulk,FBS_BULK
'328,Guyana,2946,Animal fats,Food supply quantity (kg/capita/yr),2013,kg/cap,0.65,bulk,FBS_BULK
'328,Guyana,2946,Animal fats,Food supply quantity (kg/capita/yr),2014,kg/cap,0.51,bulk,FBS_BULK
'328,Guyana,2946,Animal fats,Food supply quantity (kg/capita/yr),2015,kg/cap,0.48,bulk,FBS_BULK
'328,Guyana,2946,Animal fats,Food supply quantity (kg/capita/yr),2016,kg/cap,0.78,bulk,FBS_BULK
'328,Guyana,2946,Animal fats,Food supply quantity (kg/capita/yr),2017,kg/cap,1.36,bulk,FBS_BULK
'328,Guyana,2946,Animal fats,Food supply quantity (kg/capita/yr),2018,kg/cap,1.37,bulk,FBS_BULK
'328,Guyana,2946,Animal fats,Food supply quantity (kg/capita/yr),2019,kg/cap,1.41,bulk,FBS_BULK
'328,Guyana,2946,Animal fats,Food supply quantity (kg/capita/yr),2020,kg/cap,1.27,bulk,FBS_BULK
'328,Guyana,2946,Animal fats,Food supply quantity (kg/capita/yr),2021,kg/cap,1.32,bulk,FBS_BULK
'328,Guyana,2946,Animal fats,Food supply quantity (kg/capita/yr),2022,kg/cap,2.47,bulk,FBS_BULK
'328,Guyana,2617,Apples and products,Food supply (kcal/capita/day),2010,kcal/cap/d,1.57,bulk,FBS_BULK
'328,Guyana,2617,Apples and products,Food supply (kcal/capita/day),2011,kcal/cap/d,1.56,bulk,FBS_BULK
'328,Guyana,2617,Apples and products,Food supply (kcal/capita/day),2012,kcal/cap/d,1.6,bulk,FBS_BULK
'328,Guyana,2617,Apples and products,Food supply (kcal/capita/day),2013,kcal/cap/d,1.64,bulk,FBS_BULK
'328,Guyana,2617,Apples and products,Food supply (kcal/capita/day),2014,kcal/cap/d,1.69,bulk,FBS_BULK
